Location    Name
uksouth     Microsoft.Azure.Extensions.Testa3791896-b1fc-491e-ba0d-aefcd8d9e52a-20200105083503
uksouth     techdivision
uksouth     Microsoft.Azure.Extensions.Test6aa3643c-011a-4180-877f-cad955a8e664-20191007234642
uksouth     stackstorm
uksouth     Microsoft.Azure.Extensions.Test6cfb469b-8478-468f-9bb5-691affd32abb-20200107083803
uksouth     microolap
uksouth     odysseyconsultantsltd
uksouth     bui
uksouth     1585118004523
uksouth     3cx-pbx
uksouth     secureworks
uksouth     Microsoft.Azure.Extensions.Test1bc26b19-b8d8-41f9-a26d-818f277bdf93-20200101113139
uksouth     tempered-networks-inc
uksouth     paloaltonetworks
uksouth     asdivertissementinc1617837708654
uksouth     worxogo
uksouth     cloudhouse
uksouth     websoft9inc
uksouth     your-shop-online
uksouth     shareshiftneeraj.test
uksouth     Microsoft.AzureSecurity.JITAccess
uksouth     Microsoft.AzureStackHCI
uksouth     Microsoft.Azure.Extensions.Test1f7a8078-50e7-4a3a-91eb-d178fd4c403b-20191002233353
uksouth     samsung-sds
uksouth     jamcracker
uksouth     kaazing
uksouth     Microsoft.Azure.Security.AntimalwareSignature.Edp
uksouth     Spektra.Cloudlabs
uksouth     mriisoftllc1579457820427
uksouth     versasec
uksouth     datasmartaiprivatelimited1682323573958
uksouth     avepoint
uksouth     elaniaresources1648486385938
uksouth     ilinksystems
uksouth     Microsoft.Azure.WorkloadInsights.Windows.ReleasePipeTest.INT
uksouth     internet20inc1635882446190
uksouth     Microsoft.Azure.Extensions.Testbf9154e9-6166-48c2-86fe-1f331be606d7-20200107051823
uksouth     xtremedata
uksouth     enterprisedb-corp
uksouth     llcitpro
uksouth     incredibuild
uksouth     optimitiveslu1618320281443
uksouth     Microsoft.Azure.Extensions.Testda3320e0-28f2-4146-a002-e06296362711-20191004190115
uksouth     mathildetechnologyhongkonglimited1669113447021
uksouth     kobalt
uksouth     virtuozzointernationalgmbh1626704951469
uksouth     Microsoft.Azure.Extensions.Test8e324c65-a51d-4eeb-9ec8-d5f8662dc041-20191228165107
uksouth     nvidia
uksouth     refinitiv
uksouth     spaceliftinc1625499025476
uksouth     sphere3d
uksouth     lightning-analyticsinc1582000647396
uksouth     nri
uksouth     Microsoft.Azure.Security.Edp
uksouth     theumag1596442827072
uksouth     open-connect-systems
uksouth     Microsoft.Azure.Extensions
uksouth     Microsoft.Azure.Extensions.Test0737f33e-63e0-4ba9-b04b-b93a1de4e997-20200106083639
uksouth     vaultive-inc
uksouth     sunday
uksouth     pixitmedia1591611150480
uksouth     tryonsolutionsinc1596650621083
uksouth     1592878437854
uksouth     Microsoft.Azure.Extensions.Test520a0915-f9f0-4da4-9fa1-1b74fc1470aa-20200102083505
uksouth     procomputers
uksouth     cloud-cruiser
uksouth     panopta
uksouth     Microsoft.OSTCExtensions.Test
uksouth     Microsoft.Azure.Extensions.Test3fc26934-ede2-4482-ad5e-f66f6135d4a6-20191228055558
uksouth     ssh2appsltd1621588462715
uksouth     Microsoft.Azure.KeyVault.Edp
uksouth     Microsoft.Powershell.Test01
uksouth     liebsoft
uksouth     voiceelements
uksouth     fujitsu_fast
uksouth     influxdata
uksouth     moogsoft
uksouth     safeticatechnologiessro
uksouth     Microsoft.Azure.RecoveryServices.WorkloadBackup
uksouth     device42inc
uksouth     pyramidanalytics
uksouth     jetnexus
uksouth     sentry51llc1616686725591
uksouth     mwg_azure
uksouth     Microsoft.Azure.Extensions.Test27515c8c-6773-4f92-afb0-35691cc6e3b6-20200103083821
uksouth     marklogic
uksouth     genua_gmbh
uksouth     deltapathlimited1592886319362
uksouth     dicomsystems1584107398321
uksouth     krypc-technologies-pvt-ltd
uksouth     scientiamobile
uksouth     apigee
uksouth     madhavajay1632269232059
uksouth     CoreOS
uksouth     1689761683063
uksouth     microsoft-minecraft
uksouth     usp
uksouth     biolibinc1622552350258
uksouth     deepsiginc1581610210151
uksouth     automationanywhere
uksouth     falconstorsoftware
uksouth     leostream-corporation
uksouth     cloudplan-gmbh
uksouth     circleci
uksouth     perforce
uksouth     pcman
uksouth     Microsoft.Azure.Extensions.Test9eb5efa5-c3c1-4c13-80a6-11f5eba67372-20200108144852
uksouth     edevtech
uksouth     qualysguard
uksouth     SentinelOne.WindowsExtension
uksouth     rohdeschwarzcybersecuritygmbh
uksouth     proliongmbh1628175060372
uksouth     Microsoft.Azure.Security.WinTestAttestation
uksouth     vyulabsinc
uksouth     MicrosoftDynamicsNAV
uksouth     dgsecure
uksouth     thorntechnologiesllc
uksouth     Microsoft.Azure.DefenderForServers.Test2
uksouth     swoopanalytics
uksouth     Microsoft.AKS
uksouth     Site24x7
